left_manual,right_retrieval,right_imaginal,left_visual,left_imaginal,right_manual,left_retrieval,right_visual
7136.094187021702,6767.768019975323,-7334.54684687968,6979.613321922058,7142.693476360508,7341.589744648235,6719.288143453094,7101.486036884955
7137.158439754285,6758.916068707073,-7328.117016199571,6984.503837709348,7146.576383533274,7345.990647676035,6736.25262738665,7141.68989052295
7151.383730095418,6756.975813813638,-7318.897047350178,6995.707663310933,7145.1135717692305,7341.6609836097,6714.87708012078,7127.415974749177
7129.442119698022,6745.320318312602,-7320.704730174938,6991.494031442553,7138.872116335865,7344.908211737048,6731.229404359758,7136.707677579628
7135.940478329659,6772.591043753497,-7302.324855890464,6997.639681768746,7137.561416396528,7331.169825051122,6744.030978380414,7101.950952468883
7142.124053249131,6781.186964264979,-7329.029362570798,6972.300073625441,7135.0111298643915,7339.401391336643,6748.101603330895,7128.159460621962
7137.303437424784,6784.0449312429455,-7325.6750464395545,6995.601272602971,7151.400021908013,7334.737162089739,6767.620796572946,7130.713148721035
7146.275397364597,6799.022268952834,-7326.703280675799,6981.8830773597765,7153.745660316718,7357.515625090906,6752.5214030634315,7141.579932659739
7135.702296947057,6757.360465882886,-7322.604379373281,6978.114908408484,7136.134854937069,7361.412223183399,6721.83667687333,7112.853616493466
7142.815965805131,6792.890322102133,-7335.718751296678,7011.87958566285,7137.41635545882,7375.534520454645,6734.153779399082,7105.789105926695
7124.938388037603,6779.967786645691,-7331.602851665656,7013.627253346249,7135.594152884602,7369.730379187855,6726.738562552329,7142.601455880244
7130.221653817133,6761.228646115363,-7323.984668324453,7006.960614403283,7129.834238522566,7359.286579716588,6725.3990837930505,7136.716292290755
7109.443466467974,6792.055437923032,-7316.875504629117,7011.447669585834,7140.422435751105,7365.854961797912,6766.613177352397,7118.316401880052
7121.652135911196,6778.868900510617,-7299.821385760763,6996.587613504756,7132.840013488839,7364.00098910578,6734.1362414129235,7111.302616967965
7126.961270059309,6788.908697960156,-7282.807362819057,6978.034187718572,7118.6220763460815,7350.11852134449,6742.479975872279,7080.826131283871
7118.740781989825,6759.420205034979,-7303.439770856669,6982.216535728471,7119.80015683578,7360.120315265302,6702.728288867148,7086.556037464781
7126.641437327157,6779.075290595458,-7310.402221196344,6968.171517508143,7130.922183357142,7360.337209324016,6697.803203119725,7097.303483769484
7143.137650834221,6788.402647142527,-7337.152559721337,7011.842873645554,7142.338234110363,7340.769832971069,6707.350503810044,7133.23769556746
7162.4931465951195,6798.557486011315,-7346.137829912426,6979.674428620578,7138.777710829914,7344.403508940209,6721.313174856291,7154.731251792833
7152.701297912203,6783.324858803684,-7346.400177607315,6989.585727669188,7149.630447530525,7318.373170237434,6732.957477534238,7130.036299449246
7132.7300028068485,6766.415687105088,-7343.131321727742,6987.261062110928,7149.030218795815,7321.846961626532,6739.936971063377,7133.67201842904
7102.388432234677,6774.973234967524,-7345.910935154631,7001.473483256673,7156.892512695475,7330.295142225403,6762.812036365264,7119.286257284385
7134.27261602676,6781.1109437807945,-7341.016022957596,7012.161248065516,7153.207811162364,7331.666449556962,6756.8054619826235,7146.477564426452
7126.554640793525,6795.481784052958,-7365.081824558637,7026.456280720271,7157.870283172876,7333.511325561128,6760.891249178901,7153.80073418755
7131.159199002535,6803.967101529009,-7356.015511037271,7027.824984073087,7152.8580792481835,7328.2494602945335,6782.547029050459,7148.730990371115
7118.157307319555,6782.171336119969,-7377.286141159799,7019.797571626248,7152.254268608869,7329.310645320083,6776.521501903443,7146.199713912034
7124.861677677597,6760.092012599141,-7353.247854166617,7000.279246165465,7135.17851562923,7345.10072965846,6739.953981397643,7118.304578159816
7149.157139253016,6788.74016809437,-7362.311535956483,7002.555994556736,7152.967080615046,7348.783488676865,6756.851189707593,7147.683282012004
7156.336343055872,6762.30798648312,-7353.764738921713,6996.82620249497,7150.328736298735,7333.61838584631,6765.9317847574675,7114.202625988048
7161.45417032826,6789.160889996126,-7351.936958306532,7000.02572142175,7139.410832779195,7358.761055287621,6770.994373786314,7165.0472589694455
7155.2013379425625,6777.798834960033,-7338.527151694242,6983.107683720326,7119.6521405218855,7351.52725354097,6745.557013220069,7105.079019904178
7150.842132293332,6781.399039559392,-7324.312036935376,6988.647733165187,7134.775983320676,7340.554666756566,6752.155528168372,7100.826766684635
7141.0792041006025,6761.9953643262215,-7345.52335803258,7008.765999558921,7138.480416130633,7348.0598419139305,6745.793909792352,7104.150481472082
7157.297802878367,6774.721317501189,-7342.640113841818,6976.55999576476,7144.0754667238425,7364.872019089549,6728.008472723093,7120.142814260439
7154.881654781582,6779.198653882113,-7359.998026627222,6988.183735340481,7149.425357974356,7355.690116261933,6725.29973528812,7136.457309977301
7148.455170576307,6779.779750421057,-7338.140760306958,6969.385190573696,7145.863265329401,7346.195095793753,6749.283623553451,7141.108517727698
7146.084755375054,6783.623838705911,-7344.201270945483,7003.469436405539,7144.013546152779,7341.618136220606,6719.9883767701685,7121.006207077643
7122.122611695367,6777.8889055506725,-7325.415643076493,6978.09918477708,7129.4988664456605,7328.67153186061,6735.490295312356,7097.335590677938
7130.575779344019,6791.042782727308,-7332.204601530123,6983.278050008981,7148.40042975657,7310.974774885485,6769.290326996186,7129.890513748575
7129.80735946094,6786.048080952211,-7367.698702857972,6992.370054180329,7147.7031377969615,7332.818724377229,6761.273971684324,7155.9469496225
7126.973563090089,6822.121981495902,-7383.401709199993,7024.946923104093,7160.581630614224,7350.556584432451,6764.831186005088,7153.542284244527
